STATE,DISTRICT,ASSESSMENT_UNIT,Rainfall_mm,Recharge_Worthy_Area_Command_ha,Recharge_Worthy_Area_Total_ha,Hilly_Area_ha,Total_Geographical_Area_ha,Annual_Ground_Water_Recharge_ham,Environmental_Flows_ham,Annual_Extractable_Ground_Water_Resource_ham,Extraction_Domestic_ham,Extraction_Industrial_ham,Extraction_Irrigation_ham,Total_Ground_Water_Extraction_ham,Stage_of_Ground_Water_Extraction_pct,Allocation_Domestic_2025_ham,Net_GW_Availability_Future_Use_ham,Major_Quality_Parameters,Other_Quality_Parameters
Tamilnadu,Salem,District Summary,890.18,0.0,394848.2,22578.49,417426.69,52871.28,5257.8,47613.49,1059.4,340.9,68655.04,70055.34,147.14,2469.83,9718.84,,
Tamilnadu,Sivagangai,District Summary,880.48,0.0,403261.5,15638.62,418900.12,72022.1,6961.11,65060.98,1446.94,242.83,16270.52,17960.3,27.74,3705.42,44842.2,,
Tamilnadu,Tenkasi,District Summary,806.58,38243.13,244244.44,43999.43,288243.87,58800.95,5775.91,53025.04,914.34,183.31,39439.72,40537.34,76.45,1716.18,21453.76,,
Tamilnadu,Thanjavur,District Summary,1024.87,0.0,339469.96,188.02,339657.98,110369.66,10907.16,99462.5,14508.05,726.3,85050.53,100284.9,100.82,14886.62,12663.23,,
Tamilnadu,The Nilgiris,District Summary,1802.3,0.0,111940.38,142544.58,254484.96,11351.74,1135.18,10216.56,204.43,52.4,652.45,909.26,9.8,6351.36,7369.59,,
Tamilnadu,Theni,District Summary,1014.77,0.0,189417.31,68236.81,257654.12,30690.31,3069.04,27621.26,658.82,109.61,21329.7,22098.16,80.09,959.25,8209.53,,
Tamilnadu,Thiruvarur,District Summary,1031.68,0.0,207257.2,2452.0,209709.2,60803.17,6080.32,54722.84,2103.27,403.03,17685.56,20191.88,60.5,6554.36,15977.76,,
Tamilnadu,Thoothukudi,District Summary,637.73,0.0,459711.56,3890.06,463601.62,77301.38,7542.9,69758.46,456.34,362.83,20680.25,21499.43,31.22,1633.22,47538.92,,
Tamilnadu,Tiruchirappalli,District Summary,746.8,0.0,403609.8,17167.47,420777.28,75694.04,7326.16,68367.89,949.35,454.02,52300.62,53704.0,78.9,6303.22,26694.4,,
Tamilnadu,Tirunelveli,District Summary,1468.5,2280.27,304117.64,83758.23,387875.86,85686.02,8291.36,77394.66,731.42,106.84,31726.38,32564.66,42.1,1277.59,44749.74,,
